vehicle_id,timestamp,frame_number,direction,speed_px_frame,trajectory_points
1,2026-09-14 17:07:57.761,28,UP / IN,43.74,15
8,2026-09-14 17:08:02.919,90,UP / IN,11.4,15
9,2026-09-14 17:08:08.799,155,UP / IN,23.19,22
12,2026-09-14 17:08:10.266,174,UP / IN,10.05,23
14,2026-09-14 17:08:11.362,189,UP / IN,23.19,12
17,2026-09-14 17:08:18.246,283,UP / IN,13.15,22
19,2026-09-14 17:08:21.985,334,UP / IN,33.0,23
20,2026-09-14 17:08:24.193,361,UP / IN,10.3,30
27,2026-09-14 17:08:25.550,380,UP / IN,15.03,7
32,2026-09-14 17:08:29.375,426,UP / IN,5.1,10
36,2026-09-14 17:08:35.390,472,UP / IN,7.28,27
45,2026-09-14 17:08:40.127,506,UP / IN,11.18,23
49,2026-09-14 17:08:41.292,514,UP / IN,10.44,7
50,2026-09-14 17:08:44.375,535,UP / IN,19.03,30
53,2026-09-14 17:08:46.340,548,UP / IN,28.16,7
52,2026-09-14 17:08:47.589,556,UP / IN,13.6,26
55,2026-09-14 17:08:59.266,633,UP / IN,5.83,30
61,2026-09-14 17:09:03.220,659,UP / IN,8.54,5
57,2026-09-14 17:09:05.503,671,UP / IN,8.49,30
63,2026-09-14 17:09:08.527,686,DOWN / OUT,17.09,5
68,2026-09-14 17:09:18.565,755,UP / IN,17.03,22
71,2026-09-14 17:09:19.972,764,UP / IN,9.22,7
74,2026-09-14 17:09:26.273,809,UP / IN,4.12,30
78,2026-09-14 17:09:31.821,848,UP / IN,9.22,21
76,2026-09-14 17:09:36.869,882,UP / IN,26.08,30
80,2026-09-14 17:09:40.630,909,UP / IN,6.32,29
89,2026-09-14 17:09:48.799,962,UP / IN,17.89,28
93,2026-09-14 17:09:55.637,1009,UP / IN,7.28,23
95,2026-09-14 17:09:56.494,1016,DOWN / OUT,49.03,25
101,2026-09-14 17:10:04.415,1067,UP / IN,7.07,30
