vehicle_id,timestamp,frame_number,direction,speed_px_frame,trajectory_length
1,2026-09-17 21:50:38,28,UP / IN,43.74,15
8,2026-09-17 21:50:45,90,UP / IN,11.4,15
9,2026-09-17 21:50:54,155,UP / IN,23.19,22
12,2026-09-17 21:50:56,174,UP / IN,10.05,23
14,2026-09-17 21:50:58,189,UP / IN,23.19,13
17,2026-09-17 21:51:08,283,UP / IN,13.15,22
20,2026-09-17 21:51:13,334,UP / IN,33.0,23
22,2026-09-17 21:51:17,361,UP / IN,10.3,30
28,2026-09-17 21:51:19,380,UP / IN,15.03,7
33,2026-09-17 21:51:25,426,UP / IN,5.1,10
37,2026-09-17 21:51:31,472,UP / IN,7.28,27
46,2026-09-17 21:51:35,506,UP / IN,11.18,23
50,2026-09-17 21:51:37,514,UP / IN,10.44,7
51,2026-09-17 21:51:39,535,UP / IN,19.03,30
54,2026-09-17 21:51:41,548,UP / IN,28.16,7
53,2026-09-17 21:51:42,556,UP / IN,13.6,26
56,2026-09-17 21:51:53,633,UP / IN,5.83,30
62,2026-09-17 21:51:56,659,UP / IN,8.54,5
58,2026-09-17 21:51:58,671,UP / IN,8.49,30
64,2026-09-17 21:52:00,686,DOWN / OUT,17.09,5
69,2026-09-17 21:52:09,755,UP / IN,17.03,22
72,2026-09-17 21:52:11,764,UP / IN,9.22,7
75,2026-09-17 21:52:16,809,UP / IN,4.12,30
79,2026-09-17 21:52:21,848,UP / IN,9.22,21
77,2026-09-17 21:52:26,882,UP / IN,26.08,30
81,2026-09-17 21:52:29,909,UP / IN,6.32,30
90,2026-09-17 21:52:37,962,UP / IN,17.89,28
94,2026-09-17 21:52:43,1009,UP / IN,7.28,23
96,2026-09-17 21:52:44,1016,DOWN / OUT,49.03,25
102,2026-09-17 21:52:52,1067,UP / IN,7.07,30
